record_id,label_true,fname_c1,fname_c2,lname_c1,lname_c2,by,bm,bd
0,3606,FRANK,,MUELLER,,1967,9,27
1,2560,MARTIN,,SCHWARZ,,1967,2,17
2,3892,HERBERT,,ZIMMERMANN,,1961,11,6
3,329,HANS,,SCHMITT,,1945,8,14
4,1994,UWE,,KELLER,,2000,7,5
5,2330,DANIEL,,HEINRICH,,1967,5,6
6,4420,MARTIN,,ZIMMERMANN,,1982,11,2
7,2534,ANDREAS,BENJAMIN,BERGMANN,,1989,9,13
8,3076,DIETER,,SCHUSTER,,1974,4,19
9,4305,MANFRED,,SCHMIDT,,1979,7,11
10,4168,PATRICK,,WOLF,,1988,8,22
11,3146,STEFAN,,RICHTER,,1943,3,22
12,3578,KLAUS,,WINKLER,,1974,8,22
13,23,GERHARD,,WALTER,,1938,8,15
14,2595,WERNER,HELMUT,LORENZ,,1958,9,18
15,2296,THORSTEN,,LANGE,,1965,3,29
16,223,KURT,,MUELLER,,1966,9,12
17,2346,RICHARD,,SCHMIDT,,1984,1,31
18,3016,ANDREAS,,SCHAEFER,,1930,4,29
19,1860,KAI,,HARTMANN,,1963,11,26
20,3164,GERHARD,,VOGEL,,1986,7,8
21,1926,GUENTHER,,MUELLER,,1994,11,17
22,4352,CARSTEN,,MUELLER,WAGNER,1957,5,27
23,488,MARCO,,ALBRECHT,,2008,11,7
24,3224,PETER,,KRAEMER,,1929,8,7
25,4027,PATRICK,,WEBER,,2006,12,2
26,1878,WOLFGANG,ERNST,GUENTHER,,1929,10,12
27,2072,JOACHIM,,KUEHN,,1994,11,21
28,779,ANDREAS,,WALTER,,1954,11,6
29,1018,KURT,,SCHMITT,,1968,12,22
30,2905,MARTIN,,FISCHER,,1996,7,5
31,3671,GERHARD,,SCHMITT,,2000,1,31
32,218,JAN,,THOMAS,BECKER,2002,12,22
33,3914,BERND,,MAIER,,1998,8,20
34,717,ANDREAS,,WEBER,,1955,3,1
35,3851,CHRISTIAN,,BECK,,1967,10,3
36,2692,THOMAS,,SOMMER,,1986,9,5
37,1112,HORSTX,,MUELLER,,1991,9,7
38,452,MARK,,MUELLER,,1965,2,9
39,3432,STEFAN,,SCHUMACHER,,1983,5,19
40,1594,CHRISTOPH,,MAYER,,2006,3,29
41,4044,MARKUS,,SCHULZ,,1942,9,29
42,454,HEINRICH,,HUBER,,1977,1,14
43,539,PETER,,KUHN,,1981,3,20
44,2643,WOLFGANG,,KAISER,,1934,12,26
45,63,JOERG,PETER,BECK,,1996,10,8
46,1722,PATRICK,,SCHMID,,1945,6,5
47,1971,WERNER,,GUENTHER,,1956,1,25
48,1701,MANFRED,,WEISS,,1925,11,8
49,1492,JOHANNES,,MUELLER,,1974,2,24
50,1005,MATTHIAS,,MUELLLER,,1993,1,24
51,4402,MICHAEL,,BECKER,,1998,10,30
52,3303,GERD,,LORENZ,,1940,5,23
53,3999,OTTO,,SCHUMACHER,,1963,3,27
54,4339,FRANK,,PETERS,,1990,7,1
55,3672,BERND,,BAUER,,1929,6,4
56,1515,HORST,,MUELLER,,1941,11,6
57,1579,JOERG,,SCHROEDER,,1955,9,25
58,4190,JOERG,,MUELLER,,1964,12,14
59,3382,HELMUT,,MAIER,,1970,3,24
60,3284,WALTER,,KLEIN,,2008,8,2
61,1642,JUERGEN,,SCHNEIDER,,1951,2,13
62,1951,HELMUT,,PETERS,,2007,9,3
63,3126,STEFAN,,KLEIN,,1986,11,15
64,3702,SVEN,,KRUEGER,,1965,8,19
65,929,DENNIS,,KRAUSE,,1997,8,15
66,4454,WALTER,HEINZ,SCHREIBER,,1978,5,27
67,82,WOLFGANG,,RICHTER,,1980,2,7
68,2519,GERHARD,,RICHTER,,1956,8,28
69,2521,MICHAEL,,SCHROEDER,,1955,12,8
70,1988,HOLGER,,MEYER,,1967,2,24
71,4491,WOLFGANG,,WEISS,,1938,4,4
72,934,MAIK,,SCHMIDT,,1977,11,12
73,254,DIETER,,HOFFMANN,,1959,1,24
74,1373,HERMAANN,,MUELLER,,1990,10,2
75,4238,OTTO,,MAYER,,1958,2,15
76,3265,RAINER,,HUBER,,1958,1,19
77,1193,GERHARD,,SCHMIDT,,1957,11,17
78,895,HORST,THOMAS,SCHROEDER,,1936,5,10
79,2295,THORSTEN,,MAYER,,1993,9,18
80,473,PETER,,SCHOLZ,,1982,9,12
81,3601,STEFAN,,KUHN,,1939,10,23
82,3942,MATTHIAS,,MOELLER,,1956,6,28
83,2943,GERHARD,,SIMON,,1935,8,7
84,3584,HARALD,,FUCHS,,1954,11,20
85,1962,RUDOLF,,SCHMITZ,,2005,11,6
86,200,HEINZ,,MAOER,,1949,0,13
87,3463,STEFAN,,HOFFMANN,,1934,4,1
88,3647,SVEN,,BAUER,,1935,1,23
89,1997,CHRISTIAN,,SCHMIDT,,1970,12,13
90,1222,CHRISTIAN,,SCHROEDER,,1961,10,6
91,3719,JUERGEN,,BRAUN,,2007,10,16
92,4323,GERHARD,,WALTER,,1963,11,5
93,104,HELMUT,,SIMON,,1973,4,17
94,178,ANDREAS,,HOFFMANN,,1990,1,23
95,4428,FRANK,,KRAUS,,1966,5,26
96,528,STEFAN,,BAUER,,1956,6,28
97,523,UWE,,JAEGER,,1960,10,23
98,2744,RALF,,HUBER,,1964,10,13
99,4436,KURT,,SCHMIDT,,1959,8,31
100,1751,WERNER,,SIMON,,1971,4,29
101,2768,MICHAEL,,BAUMANN,,1927,9,29
102,1561,HANS,VOLKER,WAGNER,,1966,10,5
103,323,NORBERT,,SCHMIDT,,1935,6,16
104,8,HERMANN,,HORN,,1939,7,12
105,363,DIETER,,SCHAEFR,,1952,12,12
106,2404,SVEN,,WINTER,,1993,6,16
107,3917,GUENTHER,,KRUEGER,MARTIN,1976,11,16
108,3563,CHRISTIAN,,MUELLER,,1939,4,3
109,1478,HEINZA,,WINKLER,,1965,12,7
110,3162,HEINZ,,BAUER,,2004,9,17
111,2465,MARTIYN,,MAIRR,,2008,2,1
112,1648,SVEN,,FISCHER,,1950,6,12
113,2729,JUERGEN,,MEIER,,1952,8,13
114,2634,HERMANN,,SCHMIDT,,1954,8,26
115,4083,FRANK,,SCHULZ,,1959,5,18
116,1641,CHRISTOPH,,GUENTHER,,1986,5,8
117,1041,GERHARD,,WAGNER,,1950,5,30
118,1778,CHRISTIAN,,BRAUN,,1967,6,27
119,3313,MAIK,,MEYER,,1948,10,27
120,1762,GUENTHER,,JUNG,,1955,11,6
121,285,STEFAN,HORST,BECK,,2007,9,22
122,852,PETER,,SCHNEIDER,,1940,1,16
123,4375,HANS,,SCHNEIDER,,1941,12,17
124,564,WERNER,,SCHMITT,,1927,1,19
125,3644,DENNIS,,SCHOLZ,,1983,7,24
126,1424,DETLEF,,SCHULZ,,2000,8,12
127,1986,CHRISTIAN,,MUELLER,,2005,12,12
128,3502,BERND,,SCHMID,,1957,1,28
129,4063,HEINRICH,CHRISTIAN,STEIN,,1946,6,29
130,3201,ALEXANDER,,WALTER,,2008,11,7
131,982,GUENTHER,,BECKER,,1925,7,16
132,1551,OLAF,,KAISER,,1941,9,3
133,3549,THOMAS,,JUNG,,1987,2,9
134,2283,JOACHIM,,SCHULZ,,1959,8,15
135,2781,ROLF,WOLFGANG,KRAUSE,,1955,12,21
136,662,MAIK,,SCHMIDT,,1970,9,28
137,4082,DANIEL,,SCHMIDT,,1964,11,15
138,744,JUERGEN,,MUELLER,,1929,8,26
139,901,MATTHIAS,,SCHNEIDER,,1953,3,18
140,3467,OLAF,,WAGNER,,1997,6,12
141,288,JOERN,,KOCH,,1987,12,17
142,3765,WOLFGANG,,JAEGER,,1952,6,5
143,1047,RENE,,VOGT,,1964,1,6
144,1278,DANIEL,,BAUER,,1965,3,20
145,3390,JOERG,,KOCH,,2001,2,3
146,7,THORSTEN,,RICHTER,,1962,12,29
147,537,UWE,,SCHMIDT,,1982,11,26
148,1822,HEINRICH,,MUELLER,,1985,6,14
149,383,SEBASTIAN,,SCHNEIDER,,2001,5,3
150,3137,WERNER,,BECKER,,1994,9,21
151,1136,RENE,,WALTER,,1952,3,24
152,4234,RALF,,MEYER,,1971,2,26
153,1735,JAN,,MUELLER,,1970,10,22
154,739,HORST,,WALTER,,1948,7,25
155,2258,GUENTHER,,MEYER,,1978,5,17
156,483,OTTO,,POHL,,1938,6,5
157,778,CHRISTIAN,,HOFMANN,,1966,6,21
158,1072,CARSTEN,,KOEHLER,,1969,12,14
159,3,OTTO,,HARTMANN,,2000,6,5
160,1944,GUENTHER,,LORENZ,,1981,8,21
161,2576,STEFAN,,SCHOLZ,,1962,1,30
162,834,MICHAEL,,KELLER,,1984,8,5
163,654,WOLFGANG,,HAAS,,1965,2,9
164,434,PHILIPP,,MUELLER,,1936,1,27
165,1238,THORSTEN,,MOELLER,,1965,2,24
166,1668,SVEN,,MUELLER,,1969,2,9
167,705,ANDREAS,,RICHTER,,1944,7,6
168,3461,KURT,,BECKER,,1939,9,3
169,3897,OLIVER,,MUELLRR,,1949,8,19
170,12,STEFAN,,SCHROEDER,,1929,8,17
171,4277,DENNIS,,DIETRICH,,1944,2,24
172,2907,JUERGUEN,,WAGNER,HOFFMANN,1970,2,25
173,1407,CHRISTIAN,,FISCHER,,1935,10,6
174,3515,HELMUT,JUERGEN,HUBER,,1986,12,29
175,886,ANDREAS,VOLKER,MAYER,,1964,4,11
176,1676,REINHARD,,MUELLER,,1997,5,11
177,144,MARTIN,,SCHUBERT,,1948,11,20
178,3773,ANDRE,,FRANKE,,2007,6,23
179,792,JOACHIM,,BRAUN,,1943,12,27
180,280,MATTHIAS,,MAYER,,1967,2,5
181,1335,GUENTHER,OLAF,SCHMIDT,,1967,3,26
182,3312,BERND,,HOFMANN,,1950,1,4
183,4170,NILS,,BECKER,,1942,11,3
184,1714,JOHANNES,,SCHAEFER,,1952,8,7
185,623,GUENTHER,,SCHMIDT,,1963,7,12
186,1842,WILHELM,,WINTER,,1962,7,15
187,2076,STEFAN,,SCHNEIDER,,1966,4,23
188,2338,WOLFGANG,,SCHMIDT,,1975,7,1
189,2348,UWE,,LUDWIG,,1936,2,22
190,2817,ERNST,,SCHULZ,,1926,6,2
191,2940,MARTIN,,KRAUS,,1986,7,9
192,3550,BERND,,MAIER,,1930,4,17
193,2655,WALTER,,JUNG,,1996,10,26
194,3263,MANFRED,,BERGMANN,,1964,10,15
195,2874,BERND,,MUELLER,,2003,9,8
196,47,ANDREAS,,WAGNER,,1944,1,26
197,2456,SVEN,,SCHMIDT,,1935,12,15
198,1143,GUENTHER,,WEBER,,1960,7,6
199,3598,MICHAEL,,BECKER,,1942,3,26
200,2489,MICHAEL,,SCHMITZ,,2002,5,10
201,3106,BERND,,BECKER,,1944,7,18
202,1108,HERMANN,,WOLF,,1955,1,30
203,381,THOMAS,,BAUER,,1931,3,25
204,1063,JOERG,,KRAUSE,,1984,4,11
205,556,HEINZ,,GROSS,,1940,8,16
206,2672,PETER,,SEIDEL,,1961,10,26
207,4254,STEFAN,,SCHWARZ,,1963,10,29
208,342,ROBEFRT,,WEBEE,,1926,6,16
209,1800,HANS,,SCHMID,,1963,2,25
