record_id,label_true,given_name,surname,street_number,address_1,address_2,suburb,postcode,state,date_of_birth,soc_sec_id
0,0,jinni,dreyer,11,were street,marriott downs,south melbourne,3172,nsw,19420127,3787407
1,1,jonah,browne,6,bingley crescent,,pindimar,3182,nsw,19250413,8328406
2,2,mia,thredgold,,summerland circuit,cornvale,highett,5110,vic,19980406,7484089
3,3,naomi,milfra,7,glengar,southern cross drive,st agnes,5172,qld,19750818,7751504
4,3,naomi,millar,7,southern cross drive,glengar,st agnes,5172,,19750818,7751504
5,3,naomi,millar,7,southern cross drive,glengar,st agnes,5172,qld,19750818,7751504
6,4,lachlan,goldsworthy,61,ashkanasy crescent,mcivor ridge,rowville,3158,vic,19450818,8577437
7,5,jackaon,prestia,29,priddle sjtreet,mirilla,graceville,3012,qld,19260601,5613219
8,5,jackson,prestia,29,priddle street,mirilla,graceville,3012,qld,19260601,5613219
9,6,kayne,dunnicliff,168,bursaria street,,leeton,2621,nsw,19340427,3871397
10,6,kayne,gillaird,168,bursaria street,,leeton,2621,nsw,19340427,3871937
11,6,kayne,gillatd,168,bursaria street,,leetoh,2612,nsw,19340427,7513599
12,6,kayne,gillard,168,bursaria street,,leeton,2621,nsw,19340427,8329801
13,6,kayne,gillard,168,bursaria street,,leeton,2621,nsw,19340427,3871937
14,7,braiden,goldsworpthy,12,matina street,,tumbarumba,2161,nsw,19501119,7570745
15,7,braiden,goldsworthy,12,frencham place,willat rny,tumbarumba,2161,nsw,19501119,7570745
16,7,braid en,caruana,21,frencham place,willtrany,tumbarumba,2116,nsw,19501119,7570745
17,7,braiden,goldsworthy,12,goyder street,willtarny,tumbarumba,2161,nsw,19501119,7570745
18,7,braiden,goldsworthy,12,frencham place,willtarny,tumbarumba,2161,nsw,19501119,7570745
19,8,blake,bristow,12,archibald street,the willows,cleveland,2184,,19540515,9773077
20,8,blake,bristow,12,archibald street,the willows,cleveland,1248,nsw,19540515,9773077
21,8,blake,noble,12,archibald street,,cleveland,2148,nsw,19540515,9773077
22,8,blake,bristow,12,archibaldd tsreet,,cleveland,2148,nsw,19540515,9773077
23,8,blake,bristow,12,archibald street,the willows,cleveland,2148,nsw,19540515,9773077
24,9,alisha,white,300,dalgarno close,westport,burringbar,6107,vic,19660114,9639569
25,10,hannagan,mikhayla,20,rupp lace,brentwoo dvlge,penshurst,2283,vic,19770501,1030769
26,10,mikhvyla,hannagan,20,windradyen street,brentwood vlge,penshurst,2257,vic,19770501,1030769
27,10,mikhayla,hannaan,20,,brentwoodvlge,penshurst,2257,vic,19770501,1030769
28,10,mikhayla,hannagan,20,rupp place,brentwood vlge,penshurst,2257,vic,19770501,1030769
29,11,zac,crosswell,5,robertson street,,mount pleasant,3931,sa,19870929,5911092
30,12,barnayb,reid,51,lakes retkremeent estate,hurley street,kempsey,5162,vic,19981021,5752601
31,12,barnabh,siggins,51,hurley street,lakes retireemnt estate,kempsey,5162,vic,19981021,5752610
32,12,barnaby,siggins,32,hurley street,lakes retirement estate,kempsey,5126,vic,19981021,5752610
33,12,barhaby,siggyins,51,hurley street,lakes retiremnet estate,kempsye,5162,vic,19981021,5752610
34,12,siggins,barnaby,51,hurley street,,kempsdy,5612,vic,19981021,4216940
35,12,barnaby,siggins,51,hurley street,lakes retirement estate,kempsey,5162,vic,19981021,5752610
36,13,mia,paulka,211,bourne s treet,,ballina,3975,vic,19260122,4721250
37,13,harrison,paulka,211,bourne street,tally ho,ballina,3976,vic,19260122,4721250
38,14,jett,colegate,55,hampton ircuit,gibroatar,st albans,6011,nsw,19021219,1302954
39,14,colegate,jett,55,hampton circuit,gibraltar,st albans,6011,nsw,19021119,1742749
40,14,jett,colegatye,55,hampton vircuit,gibraltar,st albans,6011,nsw,19021119,1742749
41,14,jett,colegate,55,hampto n circuit,gibraltar,st albans,6011,nsw,19021119,1742749
42,14,jett,colegate,55,hampton circuit,gibraltar,st albans,6011,nsw,19021119,1742749
43,15,liam,tuttleby,5,verco street,rose-lea,trevallyn,2259,qld,19080101,4376020
44,16,emiily,blake,11,kevin treet,sunbury,tinbeerwah,6210,vic,19081017,7575886
45,16,emiily,blake,41,kevin street,sunbury,tinbeerwah,6210,vic,19081017,7575886
46,17,holly,zilm,4,erldunda circuit,mirinjani vlge mirinjani hostel,forbes,3102,qld,,8803555
47,18,dylan,webb,10,morrison street,canberra west,goonellabah,6343,qld,19080401,8035343
48,19,jack,stanfield,,weddin circuit,holmeleigh,madora,4350,wa,19061202,7739222
49,20,thomas,marinos,12,davison place,boonooloo,killara,5008,nsw,19741116,9081995
50,21,,,14,teakle place,thebowery,yarram,2299,sa,19100817,4968103
51,21,zachary,,14,teakle place,the buowery,yarram,2299,sa,19100817,4968103
52,21,zachary,,14,teaklep lace,the bowery,yarram,2299,sa,19100817,4968103
53,21,zachary,,14,teakle place,the bowery,yarram,2299,sa,19100817,4968103
54,22,beckwith,tess,13,musgravestreet,dale view,caloundta west,2905,wa,19350624,3602593
55,22,tess,beckwith,13,musgrave street,dale view,caloundra west,2905,wa,19350624,3602593
56,23,,kidsoey,18,disney court,ramano esttae locn 1,labrador,2281,vic,19450301,2092869
57,23,,kidsley,18,disney court,ramano esttae locn 1,labrador,2281,vic,19450301,2092869
58,23,,,18,disney vourt,ramano estate locn 1,labrador,2281,vic,19450301,2092869
59,23,,kidsley,79,disney court,ramano estdte locn 1,labrador,2281,vic,19450301,2092869
60,23,,kidsley,18,disney court,ramano estate locn 1,labrador,2281,vic,19450301,2092869
61,24,finey,vincent,59,galway place,pieracle,,2420,vic,19900423,9566651
62,24,finley,vincent,59,galway place,pieracle,,2420,vic,19900423,9566651
63,25,alexandra,kiss,15,shellshear place,yambira,mclaren vale,2209,nsw,19601231,4154698
64,25,,kiss,,shellshear place,yajbira,mclaern vale,2209,wa,19601231,4154698
65,25,alexandra,kiss,15,shellshear place,yambria,mclarne vale,2209,wa,19600804,4154968
66,25,alexandra,kiss,15,shellshear place,yambira,mclaren vale,2209,wa,19601231,4154698
67,26,,white,6,curlewis crescent,emu hill,upwey,2460,qld,19130119,7900611
68,27,magnus,grubb,19,gurrang avenue,jalkaro,rye,5044,vic,19771206,1271018
69,28,leon,haar,24,inwood lace,brindabella specialist centre,newcastle,4011,vic,19930327,5674799
70,28,leon,haar,53,brindabella speciaslist centre,inwood place,newcastle,4019,vic,19930327,5674799
71,28,leon,haar,24,inwood place,brindabella specialist centre,newcastle,4109,vic,19930327,5674799
72,28,leonl,haar,24,inwood lace,brindabella speci alist centre,newcastle,4019,vic,19930327,5674799
73,28,leon,haar,24,inwood lace,brindabella speicalist centre,newcadtle,4091,vic,19930327,5674799
74,28,leon,haar,24,inwood place,brindabella specialist centre,newcastle,4019,vic,19930327,5674799
75,29,aidan,horsley,,rosenthal street,wattle brae,irvingdale,3082,vic,19161004,9900834
76,29,aidan,horsley,25,rosenthal street,wattlesbrae,irvingdale,3082,vic,19161004,9900834
77,29,aidan,horsey,25,rosenthal street,wattle brae,irvingdale,3082,vic,19161004,9900384
78,29,aidan,horsley,25,wattle brae,rosenthal street,irvingdale,3028,vic,19161004,9900834
79,29,aidsn,horsley,25,rosenthal street,wattle brae,irvingdale,3082,vic,,9900834
80,29,aidan,horsley,25,rosenthal street,wattle brae,irvingdale,3082,vic,19161004,9900834
81,30,jack,papageorgiou,3135,galloway street,palm lake resort,rosebery,3904,wa,19961219,8732568
82,31,thomas,shaft,10,wattle street,tureevale,orford,3579,qld,19390822,1282782
83,32,willow,froscio,378,yandastreet,,keilor,5022,vic,19091226,6630637
84,32,willow,froscio,378,yanda street,st johnof god hospital,keilor,5022,vic,19091226,6630637
85,33,samuel,clarke,9,clint place,,corrimal,2594,nsw,19491205,1610220
86,34,erin,green,6,len waters street,panaroo farm,torquay,5601,qld,19480705,6217407
87,35,chloe,arneil,113,pullen sreet,blue hills,belmlnt,4883,nsw,19951224,4389592
88,35,chloe,arniel,113,pullen street,blue h ills,belmont,4838,nsw,,4389592
89,35,chloe,arneik,113,nelson place,blue hills,belmont,4883,sa,19000803,4389592
90,35,chloe,arneil,113,pullenstreet,blue hills,belmont,4883,nsw,19951224,4389592
91,35,chloe,arneil,113,pulle street,,belmoot,4883,nsw,19951224,4389592
92,35,chloe,arneil,113,pullen street,blue hills,belmont,4883,nsw,19951224,4389592
93,36,ella,boothroyd,45,gamban square,morshead home,bongaree,3142,qld,19070524,4228253
94,37,olivis,artis,12,marcus clarke street,lake road,eaglehawk,3173,nsw,19190302,2211444
95,37,olivia,artis,12,marcusclarke street,lakeroad,mill park,3173,nsw,19190302,2211444
96,37,olivia,artis,12,marcus clarke street,lake raod,mill park,3173,nsw,19190302,2211444
97,37,olivia,artis,12,marcus clarke street,lake voad,mill park,3173,nsw,19190302,2211444
98,37,olivia,artis,12,marcus clatke street,lake road,mill park,3173,nsw,19190302,2211444
99,37,olivia,artis,12,marcus clarke street,lake road,mill park,3173,nsw,19190302,2211444
100,38,jacl,ottens,34,caley crefcent,nio ka,ca mpsie,4030,qld,19590916,5959455
101,38,browne,jack,34,caleycrescent,nioka,campsie,4030,qld,19590916,5959455
102,38,jack,browne,34,caley crescent,nioka,campsie,4030,qld,19590916,5959455
103,39,,bloomfaield,1277,tennyson crescent,holmeleigh,elanora heights,3918,sa,19371004,9415994
104,39,jasmine,bloomfield,1277,tennyson crescent,holmeleigh,elanora heights,3918,sa,19371004,9415994
105,40,damien,salt,15,haystack crescent,springdale,joondalup,2029,qld,19120623,6804524
106,41,brodee,brain,25,kitchener street,,ashgrove,6123,vic,19250623,3821503
107,42,matilda,kovacic,2,hawker street,kilvinton village,kangaroo flat,2611,vic,19760510,2724779
108,43,jacob,priest,41,wagga street,evergreen,largs north,4165,vic,19390329,2860311
109,44,wil,clarke,51,severne drescent,hazelwoodgarden,coodamup,5070,sa,19400516,4621214
110,44,clarke,wi,51,severne crescent,hazelwood garden,coodanup,5070,sa,19400516,4621214
