record_id,label_true,given_name,surname,street_number,address_1,address_2,suburb,postcode,state,date_of_birth,soc_sec_id
0,0,annabelle,friswell,205,meares place,sunningdale farm,wildes meadow,7018,wa,19761129,9016980
1,1,chloe,nappo,3,balonne street,brindabella specialist centre,carnegie,2068,wa,19940201,8222350
2,2,connor,wardle,87,cooling place,upper yarrowitch,view bank,3909,vic,19051205,8455674
3,3,joshua,campbell,40,rabnor place,anzac house (cnr archer s street,cranbourne,6026,wa,19701009,1041544
4,4,lilian,golder,56,carnegie crescent,airdrie,malabar,2075,qld,19840205,2549764
5,5,kynan,collier,18,sturt avenue,karingal age hostel,roxburgh park,3121,vic,19281017,8450005
6,6,jesse,jolul,,eucumbene drive,,elwood,2111,vic,19461208,8758918
7,6,jesse,jolly,,eucumbene drive,pegg's creek,elwoof,2171,vic,19461208,8758918
8,6,jesse,jolly,,eucumbenze drive,pegg's creek,elwood,2171,vic,19461208,8758918
9,6,jesse,jolly,,eucumbene drive,pegg's creek,elwood,2171,vic,19461208,8758918
10,7,nicholas,madge,,apperly close,ocean star villas,kilsyth south,4557,wa,19310222,9053317
11,8,alaiyah,campbell,19,guilfoyle street,the bight,caulfield north,0830,nsw,19070307,9839492
12,9,emma,kempson,18,flood place,wihareja street,cunnamulla,6337,sa,19241203,8569555
13,10,lucy,crouch,202,goulburn street,sattwa park,cromer,2096,vic,19400305,1800445
14,11,kate,leslie,169,quinlivan crescent,inishmore,campsie,5453,vic,19250416,1026159
15,12,jaime,neville,100,finniss crescent,vincent court,wanneroo,3941,qld,19721219,1699577
16,13,dean,harrington,30,sambell place,the manoa,loganlea,2138,wa,19530516,7667197
17,14,annika,reid,10,edmunds place,gillin park,paralowie,5063,act,19200728,8654011
18,15,alexander,gaden,77,alexander street,barnet brae,korokt,3131,wz,19960319,7241211
19,15,alexander,gaden,539,alexander street,,koroit,3131,wa,19960319,7241211
20,15,alexander,gaden,77,alexander street,barnet brae,koroit,3131,wa,19960319,7241211
21,16,kyle,le goy,472,summerland circuit,stonehenge,scarborough,3121,nsw,19010214,7511263
22,17,georgia,nguyen,221,hanretty place,narraburra lodge,hawkwood,4109,nsw,19620311,6166273
23,18,caey,sieber,44,rankin street,glenvillacraavn park,campbekltown,5245,vic,19750208,9304390
24,18,casey,sieber,44,rankin steret,,campbelltown,5254,vic,19750208,9304390
25,18,casey,sieber,44,rankin street,glenvilla caravn park,campbelltown,5245,vic,19750208,9304390
26,18,casey,sieber,44,rankin street,glenvilla caravn park,campbelltown,5254,vic,19750208,9304390
27,19,lauren,clucas,26,arthur circle,parkway centre,seventeen mile rocks,6044,nsw,19020210,8134427
28,20,dayna,dudley,14,spowers circuit,2/98-latchford barracks,vermont,3631,wa,19620305,7539566
29,21,nathan,lowe,13,de garis place,browne's reef,keysborough,5280,vic,19530505,1960163
30,22,pino,campbell,171,jondol place,sunshine coast private hosptl medcl cent,melton south,2550,wa,19250806,9478368
31,23,emiily,mcphail,2079,morton street,glen shian,north ryde,3199,vic,19461213,9003226
32,24,alana,howie,54,burkitt street,south macroom,moorabbin,4217,wa,19590112,1534736
33,25,taylah,berry,49,marr street,lambar,hyde park,7330,sa,19521015,7307690
34,26,aaron,reid,4,sladen place,alblas hostel,tarragindi,2155,nsw,19620109,7214615
35,27,jasmine,skeen,10,freda bennett circuit,somerset cottage,bomaderry,2261,qld,19230926,9590659
36,28,lachlan,artis,25,federal highway,the mount,mill park,2550,wa,19820424,9366690
37,29,xani,bellamy,67,daley crescent,loughmore,coffs harbour,4514,nsw,19180624,1080559
38,30,cameron,limbert,19,coobina place,rosehill,adamstown,2777,vic,19261016,3547239
39,31,deakin,pontt,9,scrivener street,tinsdal,st albans,4650,nsw,19871012,6625428
40,32,teagan,faull,55,mcwhae circuit,yarrabee,bouvard,6168,wa,19010802,9148303
41,33,ethan,green,22,melrose drive,riverpark,safety bay,2000,wa,19240918,9174005
42,34,maya,dusek,69,eggleston crescent,knowsley park,cooloongup,3169,wa,,5836440
43,35,darcy,morrison,36,lewis luxtosn avenue,the mews royal hotel bldg,cooks hill,3108,nsw,19170212,6145184
44,35,darcy,morrison,36,lewis luxton avenue,the mews royal hotel bldg,cooks hill,3108,nsw,19170212,6146184
45,35,darcy,morrison,36,lewis luxtn avenue,the mews royal hotel bldg,cooks hill,3108,nsw,19170212,6145184
46,35,darcy,morrison,36,lewis luxton avenue,the mews royal hotel bldg,cooks hill,3108,nsw,19170212,6145184
47,36,chloe,kilby,204,pennefather street,athlone 2,manly vale,4306,nsw,19770724,8718156
48,37,sean,pulford,54,coningham street,old airdmillan road,lockleys,2825,vic,19100116,1410662
49,38,isabella,yu,50,charteris crescent,banyula retirement village,bassendean,3061,qld,19621114,7333955
50,39,christian,bellchambers,1048,mcluckie crescent,raycroft,highett,2166,nsw,19030410,1072481
51,40,melinda,rachwal,9,meeson street,lethbridge court,armidale,2729,wa,19021119,2314192
52,41,benjamin,verner,50,eggleston crescent,the burrows,carrara,6163,tas,19570409,8143576
53,42,william,bottroff,234,mount vernon drive,bowan brae,mooroolbark,2318,vic,19840304,5379013
54,43,sophie,dellmann,9,enright crescent,belandean,blakehurst,7113,nsw,19210124,4092057
55,44,jacob,allchin,20,sternberg crescent,ballian,glengowrie,2650,nt,19480614,4453111
56,44,jac ob,allchin,20,sternberg crescent,ball ian,glengowrie,2650,nt,19480614,4453111
57,44,jacob,alluchin,26,sternberg rcescent,,glengo wrie,2605,nt,19480614,4453111
58,44,jacob,allchin,2,sternberg crescent,ballina,glengpwrie,2650,nt,19480614,4453111
59,44,jacob,allchin,20,sternberg crescent,ballina,glengowrie,2650,nt,19480614,4453111
60,45,riley,croker,9,meacham place,heritage estate,narre warren north,2478,nsw,19891107,8251742
61,46,jemima,matthews,11,summerville crescent,warrah lea,west wollongong,4814,qld,19900603,4661496
62,47,jasper,trainor,,waramanga place,media park hostel,como,3224,nsw,19701015,7617911
63,48,jasper,magaletta,433,raws crescent,wacharoo,greensborough,2576,vic,19590921,2993069
64,49,joshua,willing,110,gollan street,naringal orchard,mountain creek,2335,nsw,19880701,4725037
65,50,thomas,petersen,16,couvreur street,kimberley land caravan park,toorak,5049,nsw,19211030,9215248
66,50,thomas,tuckwell,16,couvreur street,,toorak,5049,nsw,19211430,8702265
67,50,thomas,tuckwell,,couvreur street,kimberley land caravan park,toorak,5049,nsw,19211030,8702265
68,50,thomas,tuckweoll,16,couvreu rwtreet,kimberley land caravan park,toorak,5049,nsw,19211030,8702265
69,50,thomas,tuckwell,16,couvreur street,kimberley land caravan park,toorak,5049,nsw,19211030,8702265
70,51,jordan,fitzpatrick,5,bowser place,denture clnc,penrith,2558,qld,19470811,9536120
71,52,grace,robson,10,petterd street,dry rush,newmarket,2217,nsw,19921118,2731637
72,53,sam,denholm,260,moorehead place,lake chatsworth,st kilda,3216,wa,19611016,9281990
73,54,layla,flegg,36,birdwood street,donore,hinton,3028,nsw,19890605,1891517
74,55,james,croci,8,miranda place,banksia springs,dandenong north,4132,qld,19670525,9400446
75,56,harry,clarke,39,maranoa street,cypress garden,newstead,6157,nt,19990510,9290227
76,57,gabrielle,rundle,,morgan crescent,,thornlie,3178,qld,19261230,4426085
77,58,william,dolan,46,weatherburn place,derry lodge,pakenham,3082,sa,19610724,7602826
78,59,joshua,versteegen,18,axford place,robina,moe,2713,qld,19250326,3869579
79,60,hannah,huddy,27,attunga street,bellevue gardens rv,coconut grove,2611,nt,19600905,3538440
80,61,kirrah,westhorp,30,dunstan street,anglican church,toronto,3177,sa,19620216,6725818
81,62,jacob,green,31,forbesstreet,the villa s north,ferndale,2540,sa,19530711,2898109
82,62,jacob,carmedy,31,forbess treet,the villas north,fernnale,2540,sa,19530711,2898190
83,62,jacob,carmody,31,forbes street,the villas north,ferndale,2540,sa,19530711,2898109
84,63,olivia,white,55,duffy street,shopping village,mirrabooka,2260,vic,19000106,4996142
85,63,olivia,white,192,,shoppingvillage,mirrabooka,2260,vic,19000106,4996142
86,63,olivia,white,55,ern florence crescent,shopping village,mirrabooka,2260,vic,19000106,4996142
87,64,george,white,,hoadley street,,bayswater,3040,vic,19501126,2392222
88,65,phoebe,menzies,20,blackwood terrace,gibraltar,whaleback,4740,nsw,19350604,3778980
89,66,thomas,,20,carr crescent,uargon,sunshine north,3071,nsw,19951010,8667811
90,67,michael,ryan,344,girdlestone circuit,thousand hills,collie,3134,vic,19660221,8571204
91,68,ella,berry,9,spica street,noelurma,,2033,vic,19150528,5178255
